Date,MSCI World
1978-12-01,10000
1979-01-01,10411.86886
1979-02-01,10274.98919
1979-03-01,10715.36563
1979-04-01,10832.85818
1979-05-01,10776.78722
1979-06-01,10972.00583
1979-07-01,10671.99612
1979-08-01,11147.95535
1979-09-01,11289.53725
1979-10-01,10508.15249
1979-11-01,10802.10449
1979-12-01,10856.33603
1980-01-01,11410.83912
1980-02-01,11537.14025
1980-03-01,10857.30197
1980-04-01,11722.96608
1980-05-01,11783.81806
1980-06-01,12184.45989
1980-07-01,12419.1109
1980-08-01,12930.34306
1980-09-01,13304.16374
1980-10-01,14054.23782
1980-11-01,15172.84458
1980-12-01,15328.60161
1981-01-01,14947.02063
1981-02-01,16031.48352
1981-03-01,16633.82721
1981-04-01,17103.34222
1981-05-01,17812.99655
1981-06-01,18486.54896
1981-07-01,18748.21836
1981-08-01,18901.7142
1981-09-01,16709.04674
1981-10-01,16732.60439
1981-11-01,17804.41026
1981-12-01,17687.92405
1982-01-01,17716.63867
1982-02-01,17217.4391
1982-03-01,17072.23233
1982-04-01,18208.26794
1982-05-01,17158.05308
1982-06-01,17355.62573
1982-07-01,17520.386
1982-08-01,18926.55788
1982-09-01,19213.1379
1982-10-01,20796.93428
1982-11-01,22286.31869
1982-12-01,22348.7816
1983-01-01,22684.98019
1983-02-01,23607.2082
1983-03-01,24581.95907
1983-04-01,26737.9451
1983-05-01,26662.94713
1983-06-01,28365.25335
1983-07-01,28259.88957
1983-08-01,29356.43302
1983-09-01,29993.98659
1983-10-01,29176.88638
1983-11-01,30755.26319
1983-12-01,31963.11416
1984-01-01,32977.08749
1984-02-01,31463.65871
1984-03-01,31792.22801
1984-04-01,32259.17729
1984-05-01,30972.15699
1984-06-01,31257.46743
1984-07-01,31321.02369
1984-08-01,34877.00478
1984-09-01,36412.40527
1984-10-01,37497.08884
1984-11-01,36405.02693
1984-12-01,38659.33271
1985-01-01,41814.50778
1985-02-01,43484.32495
1985-03-01,45122.81383
1985-04-01,41911.84117
1985-05-01,44399.17848
1985-06-01,44429.20982
1985-07-01,43158.84544
1985-08-01,42042.68003
1985-09-01,43067.0164
1985-10-01,42618.89101
1985-11-01,44153.47754
1985-12-01,45152.64155
1986-01-01,44897.06391
1986-02-01,47039.0157
1986-03-01,50233.85018
1986-04-01,51907.95471
1986-05-01,50877.26205
1986-06-01,53153.17151
1986-07-01,52030.78451
1986-08-01,54900.43074
1986-09-01,52328.74585
1986-10-01,50879.01649
1986-11-01,53595.7676
1986-12-01,53907.41741
1987-01-01,56645.67975
1987-02-01,57500.42381
1987-03-01,60981.37064
1987-04-01,63736.26912
1987-05-01,63072.23467
1987-06-01,64185.7974
1987-07-01,66434.94078
1987-08-01,70928.69192
1987-09-01,67896.82941
1987-10-01,55978.51936
1987-11-01,51333.35319
1987-12-01,51946.00039
1988-01-01,53788.82137
1988-02-01,58571.90148
1988-03-01,59539.1768
1988-04-01,59946.33642
1988-05-01,59342.81069
1988-06-01,61478.23069
1988-07-01,65806.92823
1988-08-01,63602.14826
1988-09-01,65834.66781
1988-10-01,68495.71054
1988-11-01,68088.34209
1988-12-01,68790.79993
1989-01-01,74120.02494
1989-02-01,74582.15355
1989-03-01,74613.48628
1989-04-01,76773.74003
1989-05-01,78123.10673
1989-06-01,78649.45634
1989-07-01,83734.8367
1989-08-01,82987.38263
1989-09-01,86654.69489
1989-10-01,80626.4894
1989-11-01,82659.75572
1989-12-01,81820.55262
1990-01-01,75728.59153
1990-02-01,71535.67884
1990-03-01,68407.07384
1990-04-01,66571.61049
1990-05-01,72394.61313
1990-06-01,72378.14528
1990-07-01,70845.82755
1990-08-01,61401.13637
1990-09-01,55029.5982
1990-10-01,58415.01825
1990-11-01,56330.59926
1990-12-01,58201.46058
1991-01-01,60491.36731
1991-02-01,65002.78221
1991-03-01,68678.23519
1991-04-01,72917.12917
1991-05-01,75579.50922
1991-06-01,73571.22958
1991-07-01,77158.97997
1991-08-01,75234.26234
1991-09-01,75089.82999
1991-10-01,76219.33382
1991-11-01,70183.65791
1991-12-01,72914.05794
1992-01-01,72080.62305
1992-02-01,72413.34826
1992-03-01,70859.44584
1992-04-01,71211.68823
1992-05-01,72641.78399
1992-06-01,68211.92105
1992-07-01,65144.89005
1992-08-01,65058.41982
1992-09-01,65963.46195
1992-10-01,66858.60068
1992-11-01,72526.59384
1992-12-01,73078.71081
1993-01-01,74768.89568
1993-02-01,78461.23193
1993-03-01,83433.31413
1993-04-01,84344.24986
1993-05-01,86514.92308
1993-06-01,88306.95272
1993-07-01,93963.38021
1993-08-01,99037.08143
1993-09-01,93357.60373
1993-10-01,97071.79005
1993-11-01,94055.91864
1993-12-01,98630.70552
1994-01-01,106578.1524
1994-02-01,104811.3622
1994-03-01,98236.47113
1994-04-01,101584.2073
1994-05-01,99673.79257
1994-06-01,97800.22291
1994-07-01,96604.85989
1994-08-01,99645.24207
1994-09-01,96004.49385
1994-10-01,96865.59426
1994-11-01,94059.72854
1994-12-01,96930.87581
1995-01-01,93541.92643
1995-02-01,93884.80914
1995-03-01,94604.42604
1995-04-01,96046.72854
1995-05-01,98383.64077
1995-06-01,97551.66945
1995-07-01,101261.2619
1995-08-01,102021.6917
1995-09-01,106360.3866
1995-10-01,103076.7215
1995-11-01,106905.8457
1995-12-01,111794.2457
1996-01-01,115218.6153
1996-02-01,116607.7184
1996-03-01,118493.8455
1996-04-01,122335.8504
1996-05-01,123949.1279
1996-06-01,123631.8635
1996-07-01,117472.5744
1996-08-01,117767.8453
1996-09-01,123461.5181
1996-10-01,124732.5297
1996-11-01,130053.6515
1996-12-01,130825.7568
1997-01-01,136026.7105
1997-02-01,143610.0857
1997-03-01,142428.4656
1997-04-01,147909.2808
1997-05-01,156584.2234
1997-06-01,166266.5155
1997-07-01,178789.1937
1997-08-01,171614.2942
1997-09-01,176218.8527
1997-10-01,163940.4449
1997-11-01,163433.4433
1997-12-01,169914.8596
1998-01-01,178694.6952
1998-02-01,190390.7511
1998-03-01,199190.7393
1998-04-01,199804.5665
1998-05-01,194324.4051
1998-06-01,200409.3506
1998-07-01,200590.263
1998-08-01,173160.8983
1998-09-01,168030.7676
1998-10-01,176480.5005
1998-11-01,192414.4549
1998-12-01,200555.9636
1999-01-01,211673.3797
1999-02-01,212917.271
1999-03-01,227512.8355
1999-04-01,239749.6704
1999-05-01,234136.5212
1999-06-01,248127.4117
1999-07-01,238949.5525
1999-08-01,241288.8897
1999-09-01,236920.2061
1999-10-01,254323.3773
1999-11-01,270731.6111
1999-12-01,294165.0973
2000-01-01,284576.2073
2000-02-01,287641.2667
2000-03-01,312741.8544
2000-04-01,314985.1213
2000-05-01,299854.2082
2000-06-01,301785.2005
2000-07-01,303259.7316
2000-08-01,325012.5416
2000-09-01,312719.9609
2000-10-01,320233.8821
2000-11-01,291583.3613
2000-12-01,276564.1636
2001-01-01,282299.7364
2001-02-01,259731.3186
2001-03-01,254153.2238
2001-04-01,271649.2574
2001-05-01,280803.2404
2001-06-01,272045.171
2001-07-01,260030.1669
2001-08-01,236703.7463
2001-09-01,216516.0067
2001-10-01,222857.3727
2001-11-01,239895.67
2001-12-01,243761.5915
2002-01-01,241220.3619
2002-02-01,238783.3537
2002-03-01,247302.4931
2002-04-01,231459.8021
2002-05-01,222629.501
2002-06-01,196837.3693
2002-07-01,183808.2795
2002-08-01,183253.9362
2002-09-01,162694.1972
2002-10-01,174660.6358
2002-11-01,182948.2002
2002-12-01,164820.3822
2003-01-01,154978.353
2003-02-01,152805.0698
2003-03-01,150804.7284
2003-04-01,160790.2848
2003-05-01,160118.2831
2003-06-01,168581.5962
2003-07-01,173693.4654
2003-08-01,183838.726
2003-09-01,173493.6598
2003-10-01,184298.4301
2003-11-01,181344.2835
2003-12-01,183058.7551
2004-01-01,189732.0298
2004-02-01,192448.6252
2004-03-01,194281.9748
2004-04-01,194825.5703
2004-05-01,192686.9476
2004-06-01,197421.7506
2004-07-01,192868.9085
2004-08-01,192641.5594
2004-09-01,191632.2437
2004-10-01,191311.3785
2004-11-01,192990.7961
2004-12-01,195619.8988
2005-01-01,199850.3003
2005-02-01,202817.5532
2005-03-01,203461.3973
2005-04-01,199277.8813
2005-05-01,213275.4074
2005-06-01,219468.783
2005-07-01,227165.3513
2005-08-01,227012.08
2005-09-01,235992.0859
2005-10-01,230677.4336
2005-11-01,243636.2044
2005-12-01,248504.8039
2006-01-01,252771.8089
2006-02-01,257668.5554
2006-03-01,258466.3872
2006-04-01,257248.9313
2006-05-01,242294.9681
2006-06-01,245278.3034
2006-07-01,245818.1719
2006-08-01,250675.4255
2006-09-01,257564.7448
2006-10-01,266313.4005
2006-11-01,262550.3308
2006-12-01,268569.0267
2007-01-01,276325.1272
2007-02-01,269651.3954
2007-03-01,272495.0415
2007-04-01,278668.3482
2007-05-01,289992.0016
2007-06-01,286748.5681
2007-07-01,276323.5054
2007-08-01,276274.2632
2007-09-01,279828.5496
2007-10-01,283120.8527
2007-11-01,265897.1775
2007-12-01,263257.0504
2008-01-01,240760.9414
2008-02-01,234794.3552
2008-03-01,223168.6966
2008-04-01,239192.1575
2008-05-01,243639.1023
2008-06-01,220651.5164
2008-07-01,217426.4151
2008-08-01,227221.4139
2008-09-01,206343.0758
2008-10-01,187545.5705
2008-11-01,175949.1452
2008-12-01,166149.4668
2009-01-01,164669.7341
2009-02-01,149937.6861
2009-03-01,153283.7257
2009-04-01,171058.0488
2009-05-01,175869.2374
2009-06-01,174703.8679
2009-07-01,189499.9848
2009-08-01,195548.419
2009-09-01,198256.5276
2009-10-01,192705.5587
2009-11-01,197698.8036
2009-12-01,209934.6942
2010-01-01,207639.9393
2010-02-01,216796.916
2010-03-01,231899.0958
2010-04-01,234919.4211
2010-05-01,230056.4912
2010-06-01,222906.4704
2010-07-01,227031.158
2010-08-01,224648.4132
2010-09-01,228257.012
2010-10-01,233244.3728
2010-11-01,243407.3019
2010-12-01,254263.7125
2011-01-01,253799.5004
2011-02-01,260100.4847
2011-03-01,250890.2303
2011-04-01,250207.3484
2011-05-01,253369.01
2011-06-01,248284.7237
2011-07-01,247148.9612
2011-08-01,226817.0106
2011-09-01,221856.5113
2011-10-01,236157.7171
2011-11-01,240543.4343
2011-12-01,249403.8836
2012-01-01,257280.6056
2012-02-01,264627.8341
2012-03-01,269922.5191
2012-04-01,269915.1279
2012-05-01,263015.1537
2012-06-01,272440.7076
2012-07-01,282894.4177
2012-08-01,282684.3911
2012-09-01,283408.0933
2012-10-01,280208.2331
2012-11-01,284100.6688
2012-12-01,285031.0457
2013-01-01,291765.9398
2013-02-01,301769.5461
2013-03-01,316812.0772
2013-04-01,320334.9436
2013-05-01,322367.9282
2013-06-01,312773.7672
2013-07-01,324493.6773
2013-08-01,318685.2812
2013-09-01,328055.9824
2013-10-01,337575.7945
2013-11-01,344489.333
2013-12-01,347314.5877
2014-01-01,341335.1709
2014-02-01,350893.5928
2014-03-01,352238.4821
2014-04-01,354447.3342
2014-05-01,368215.4985
2014-06-01,373560.88
2014-07-01,375356.6629
2014-08-01,389340.2193
2014-09-01,397152.784
2014-10-01,401700.4499
2014-11-01,411286.4063
2014-12-01,416228.6442
2015-01-01,439014.1899
2015-02-01,467642.5676
2015-03-01,481217.822
2015-04-01,472716.5473
2015-05-01,485349.2503
2015-06-01,464978.4217
2015-07-01,483064.0879
2015-08-01,441316.4783
2015-09-01,425693.5808
2015-10-01,467309.7128
2015-11-01,484472.2479
2015-12-01,462681.5252
2016-01-01,433804.5527
2016-02-01,432106.5239
2016-03-01,441588.8189
2016-04-01,448148.0757
2016-05-01,461146.2777
2016-06-01,458336.9164
2016-07-01,477351.2306
2016-08-01,477173.4895
2016-09-01,478676.5909
2016-10-01,478758.6431
2016-11-01,500113.1754
2016-12-01,516830.0147
2017-01-01,518889.9843
2017-02-01,541495.9265
2017-03-01,542836.6171
2017-04-01,539090.8416
2017-05-01,536727.3445
2017-06-01,529975.611
2017-07-01,528242.1498
2017-08-01,524866.2961
2017-09-01,537717.1194
2017-10-01,555925.3741
2017-11-01,558136.5848
2017-12-01,559064.7778
2018-01-01,566781.1906
2018-02-01,554353.6523
2018-03-01,537917.0806
2018-04-01,555337.9515
2018-05-01,577513.1148
2018-06-01,579478.0725
2018-07-01,593750.9375
2018-08-01,605762.9596
2018-09-01,613337.7996
2018-10-01,581405.0804
2018-11-01,586190.2638
2018-12-01,537532.9654
2019-01-01,577621.3938
2019-02-01,599035.548
2019-03-01,617094.5746
2019-04-01,640300.0101
2019-05-01,607559.2356
2019-06-01,634813.4128
2019-07-01,651239.6122
2019-08-01,644881.3978
2019-09-01,667807.4201
2019-10-01,668712.7724
2019-11-01,698425.4182
2019-12-01,703474.0576
2020-01-01,710907.9132
2020-02-01,655572.5117
2020-03-01,570333.5844
2020-04-01,637607.7993
2020-05-01,653214.3476
2020-06-01,667055.9453
2020-07-01,660832.2377
2020-08-01,699813.2279
2020-09-01,689336.7908
2020-10-01,668939.1688
2020-11-01,736983.0834
2020-12-01,750264.579
2021-01-01,751251.3228
2021-02-01,771709.0982
2021-03-01,824776.9382
2021-04-01,838021.1652
2021-05-01,842284.4016
2021-06-01,877924.7527
2021-07-01,893338.6401
2021-08-01,920261.5568
2021-09-01,901889.598
2021-10-01,947814.9649